Latitude,Longitude
40.853578,-73.900591
40.689243,-73.983265
40.814845,-73.956312
40.66412128,-73.94776484
40.84365839,-73.92004215
40.742336,-73.896497
40.749893,-73.882915
40.8264277,-73.95045075
40.69543881,-73.98322538
40.838797,-73.869173
40.840775,-73.936253
40.843885,-73.934932
40.756789,-73.97111
40.76889099,-73.98209349
40.75802176,-73.98179321
40.677251,-73.826039
40.639711,-74.094199
40.587178,-74.164527
40.602464,-74.00346
40.725485,-73.986824
40.607881,-74.065068
40.60277623,-73.75011736
40.698221,-73.905814
40.756729,-73.941036
40.706283,-73.950348
40.76470532,-73.8109934
40.684373,-73.852378
40.844144,-73.900499
40.840775,-73.936253
40.671104,-73.913562
40.81094883,-73.92714381
40.88731363,-73.84727176
40.667127,-73.866977
40.83784212,-73.91962775
40.758153,-73.869671
40.814845,-73.956312
40.701431,-73.784386
40.705733,-73.939515
40.83647617,-73.88510844
40.664419,-73.932923
40.74978831,-73.98776859
40.642699,-74.076717
40.72651564,-73.98829024
40.64885075,-73.95101651
40.674593,-73.930572
40.823378,-73.870168
40.574091,-74.106113
40.666859,-73.85786
40.837493,-73.925513
40.83647617,-73.88510844
40.729674,-73.82329
40.708666,-73.958578
40.737624,-73.99244
40.74529305,-73.99848786
40.729059,-73.811018
40.62583755,-73.99094489
40.57709999,-74.10495985
40.688344,-73.850002
40.80444935,-73.94164995
40.65815775,-74.00044115
40.756585,-73.875603
40.609123,-74.000338
40.664154,-73.946814
40.847736,-73.891877
40.716337,-74.001251
40.674616,-74.003983
40.82291231,-73.8700413
40.716337,-74.001251
40.853578,-73.900591
40.71123046,-74.00647827
40.615545,-73.926514
40.709207,-73.797541
40.623238,-74.149217
40.734681,-73.810626
40.816863,-73.935619
40.630736,-73.973423
40.784499,-73.97548
40.688736,-73.944984
40.83955214,-73.91594156
40.66409737,-73.90930688
40.85242466,-73.86872428
40.80641488,-73.9422623
40.76539,-73.985702
40.791912,-73.947579
40.68630476,-73.79390816
40.81620584,-73.89600119
40.711086,-73.770363
40.71975011,-73.99216085
40.840548,-73.928416
40.847736,-73.891877
40.644996,-74.077263
40.778052,-73.950064
40.712206,-73.825952
40.646298,-74.005494
40.76979283,-73.91682747
40.853985,-73.934883
40.816034,-73.895748
40.664154,-73.946814
40.753783,-73.992304
40.711086,-73.770363
40.826163,-73.91683
40.639015,-74.013066
40.708877,-73.859436
40.698323,-73.917495
40.76039614,-73.76750253
40.81927933,-73.82159046
40.63372393,-74.02388342
40.605011,-74.12811
40.734637,-73.990328
40.819221,-73.846498
40.75427513,-73.81772203
40.675967,-73.963023
40.57664598,-73.9764804
40.734955,-73.874983
40.800896,-73.941011
40.81035186,-73.92494233
40.58662,-74.100935
40.844876,-73.89158
40.75278277,-73.85497787
40.80093037,-73.94109824
40.844938,-73.883955
40.71452,-73.99099
40.708666,-73.958578
40.669479,-73.943579
40.81784644,-73.94184413
40.840548,-73.928416
40.659445,-73.931204
40.83396519,-73.86289203
40.644996,-74.077263
40.68964,-73.924051
40.71975011,-73.99216085
40.853578,-73.900591
40.616155,-73.932294
40.757437,-73.971679
40.658434,-73.909791
40.623238,-74.149217
40.719659,-73.984775
40.86947048,-73.8798608
40.82291231,-73.8700413
40.579069,-73.957239
40.86522278,-73.83618557
40.87746301,-73.85373681
40.688736,-73.944984
40.86947048,-73.8798608
40.725885,-73.989649
40.668153,-73.823587
40.628508,-73.941384
40.511577,-74.249302
40.607881,-74.065068
40.78553535,-73.98399928
40.70105357,-73.8088765
40.57428569,-74.10591441
40.71359,-74.001412
40.769552,-73.915361
40.83647617,-73.88510844
40.616055,-74.017222
40.65008147,-73.96100738
40.750423,-73.98928
